	gold	dev_gr99_k10	dev_gr100_k10	dev_gr200_k10
0	4	1	1	10
4	2	4	10	10
6	1	8	8	10
7	1	4	6	3
8	3	4	4	10
11	1	1	4	2
12	4	10	10	10
16	1	6	10	10
17	3	2	2	10
20	4	3	4	10
24	9	6	10	9
33	4	4	8	10
37	1	1	2	6
38	2	1	1	1
40	1	1	1	2
41	1	1	1	4
42	1	1	10	10
43	2	2	6	1
45	1	2	2	4
46	2	1	1	10
48	2	1	1	3
50	1	1	1	1
51	1	1	1	10
52	1	6	8	4
53	2	3	3	10
55	2	1	1	2
57	1	1	6	5
58	1	1	1	10
59	3	1	1	1
62	2	3	3	1
64	3	1	2	10
67	2	1	1	1
69	2	3	9	10
71	1	2	4	6
72	5	1	10	10
77	4	3	4	10
81	3	2	2	3
84	2	1	1	10
86	1	2	5	10
87	3	1	1	10
90	1	1	10	10
91	3	1	1	6
94	1	3	2	10
95	3	1	2	2
98	1	1	1	1
99	1	1	2	3
100	1	1	1	4
101	3	2	2	1
104	1	1	1	2
105	2	1	2	2
107	3	1	4	10
110	2	1	1	10
112	2	1	1	1
114	1	6	6	4
115	2	1	1	2
117	1	1	6	4
118	2	2	2	10
120	3	1	1	2
123	1	2	2	10
124	3	1	2	3
127	1	1	1	3
128	2	6	10	10
130	1	6	10	4
131	2	1	2	3
133	1	1	1	1
134	1	1	1	1
135	2	3	3	4
137	4	1	2	3
141	2	1	2	1
143	2	1	1	1
145	1	1	1	3
146	1	1	1	3
147	1	4	5	10
148	1	1	2	1
149	2	10	10	10
151	2	4	10	10
153	2	3	3	1
155	2	1	2	1
157	2	1	2	1
159	2	1	1	10
161	2	1	1	4
163	3	4	10	10
166	1	2	3	10
167	3	1	2	3
170	4	1	1	10
174	2	1	1	3
176	1	1	1	1
177	3	3	3	7
180	1	2	3	3
181	2	2	2	2
183	3	3	3	7
186	3	1	2	2
189	1	2	3	3
190	1	2	10	4
191	2	1	1	1
193	3	1	1	2
196	2	1	1	1
198	1	1	1	2
199	3	10	10	10
202	2	2	2	7
204	1	1	1	1
205	3	2	2	10
208	1	1	1	1
209	1	3	2	10
210	3	1	1	4
213	1	1	1	3
214	6	2	2	10
220	3	1	2	10
223	4	6	1	10
227	6	1	10	10
233	5	3	3	3
238	2	1	1	3
240	1	1	1	1
241	1	4	10	3
242	3	4	1	9
245	4	3	3	4
249	1	7	10	10
250	4	2	2	6
254	2	1	2	6
256	5	3	6	10
261	6	1	2	10
267	2	1	2	1
269	5	2	2	10
274	1	1	3	5
275	2	1	1	10
277	1	1	1	1
278	1	4	7	10
279	1	1	2	3
280	2	1	2	3
282	1	1	3	4
